Title,Description,Creator,Donor,Date,Date is Approximate?,Keywords,Coverage,Latitude,Longitude,Relation,Publisher,Source,Identifier,Rights,Rights (Standardized),Format Original,Type,Format Digital,Language,Filename,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
Longest Train,"The longest train made it to the siding along the mill pond. A group of men can be seen sitting and standing on a stack of longs. A signs saying ""Potlatch LBR. Co. 1,110,000 Ft."" is also on the stack of logs.",,,1907,yes,logs; men,United States--Idaho--Latah County--Potlatch,,,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",Gale_WI&M Railroad_45a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/10,10,1007.jp2,/phs/image/1007.jp2
Longest Logging Train,View of a train of logs for the Potlatch Lumber Company. The train consisted of 105 cars and measured one mile in length. A few men can be seen standing next to the locomotive.,,,1907,yes,trains; logging,United States--Idaho--Latah County--Potlatch,46.925009,-116.895387,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",Gale_WI&M Railroad_45b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/11,11,1008.jp2,/phs/image/1008.jp2
Logging Train,Stacks of logs on railroad flats being pulled on a railroad track.,,,1907,yes,railroads; logs,United States--Idaho--Latah County--Potlatch,,,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",Gale_WI&M Railroad_46a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/12,12,1009.jp2,/phs/image/1009.jp2
Zimmerman Family,"The Zimmer family standing togather.  Randolph Jr., Rudolph Sr., Bill, Eliza (Thachsel), Elizabeth.",,,1908,yes,,United States--Idaho--Latah County--Deep Creek,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: Deep Creek 1, Potlatch Historical Society",Gale_DeepCreek1-22b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/13,13,101.jp2,/phs/image/101.jp2
WI&M Yards,"View of the WI&M yards at Potlatch, Idaho, when looking north. Freight and logging trains can be seen pulling up to the depot, which is located on the right.",,,1910,yes,railroads; stations,United States--Idaho--Latah County--Potlatch,46.925009,-116.895387,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",Gale_WI&M Railroad_46b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/14,14,1010.jp2,/phs/image/1010.jp2
WI&M Wreck,Train wreck on the WI&M line between Potlatch and Palouse. Railroad cars can be seen laying next to the track and men can be seen cleaning up after the wreck.,,,1913-03-02,y,railroads; wrecks,United States--Washington--Whitman County--Palouse,46.935225,-116.946555,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",Gale_WI&M Railroad_47a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/15,15,1011.jp2,/phs/image/1011.jp2
"Old ""21"" Wreck","An old ""21"" in trouble in the yard at Potlatch, The locomotive can be seen derailed into the snow. A few men can be seen standing on the tracks and next to the locomotive. The men standing at the lest looking on is Geo. Hudson.",,,1915,yes,locomotives; wrecks,United States--Idaho--Latah County--Potlatch,46.925009,-116.895387,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",Gale_WI&M Railroad_47b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/16,16,1012.jp2,/phs/image/1012.jp2
"Old ""22""","An old ""22"" locomotive taking a break at a station, after a run to Bovill and back. Snow can be seen surrounding the tracks and icicles can be seen hanging off the station's roof.",,,1915,yes,locomotives; stations; railroads,United States--Idaho--Latah County--Potlatch,,,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",Gale_WI&M Railroad_48a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/17,17,1013.jp2,/phs/image/1013.jp2
Idaho White Pine,"Three men sitting at the base of an Idaho white pine in the St. Joe and Clearwater National Forests, which was the incentive behind Potlatch Lumber Co.'s investment and operations.",,,1913,yes,trees; men; forests,United States--Idaho--Latah County--St. Joe National Forest,47.002886,-116.513525,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_01,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/18,18,1014.jp2,/phs/image/1014.jp2
Forests,"Four men standing at the base of a few trees in Sec. 34, T42, R1W.",,,1913,yes,trees; men; forests,United States--Idaho--Latah County,,,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_04a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/19,19,1015.jp2,/phs/image/1015.jp2
Logging Camp,"View of a logging camp, that is located where Harvard, Idaho is now Many log cabins can be seen standing in a row.",,,1905,yes,lumber camps; log cabins,United States--Idaho--Latah County--Harvard,46.918141,-116.729174,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_10a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/20,20,1016.jp2,/phs/image/1016.jp2
Logging Camp,"View of an early PLC logging camp. A group of people, including Art Henderson, are standing in front of a log cabin at the camp. One of the cooks can be seen holding a horn.",,,1905,yes,lumber camps; log cabins,United States--Idaho--Latah County,,,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_10b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/21,21,1017.jp2,/phs/image/1017.jp2
Idaho White Pines and Cedar,"Four men standing at the base of a few Idaho White Pine trees and cedar trees in Sec. 33, T42N, 1W; around Beals Butte.",,,1913,yes,trees; men; forests,United States--Idaho--Latah County,"46.943700,",-116.505442,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_03,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/22,22,1018.jp2,/phs/image/1018.jp2
Collins Area,"View of a place that was owned by Mr. Sam Frei. The place was located in the Collins area, which is north of Bovill, Idaho. Children, dogs, and men on horses can be seen standing around outside the building. A group of trees can also be seen behind the buildings.",,,1913,yes,buildings; children; horses,United States--Idaho--Latah County--Bovill,46.860699,-116.394477,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_06,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/23,23,1019.jp2,/phs/image/1019.jp2
McMahama Place,The John McMahama Place - Fritz Leistner digging potatoes.  Photograph taken about 1920.,,,1920,yes,,United States--Idaho--Latah County--Deep Creek,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: Deep Creek 1, Potlatch Historical Society",Gale_DeepCreek1-23a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/24,24,102.jp2,/phs/image/102.jp2
Wash Day,"Three women, two men, and a boy can be seen washing laundry during wash day at the Collins area. They can be seen using washtubs and a washboard.",,,1913,yes,washtubs,United States--Idaho--Latah County--Bovill,46.860699,-116.394477,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_07a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/25,25,1020.jp2,/phs/image/1020.jp2
Winter Logging,"Three men standing at the base of a Idaho white pine tree during winter logging. Two men can be seen holding a crosscut saw, seemingly cutting the tree down.",,,1900,yes,crosscut saws; men; trees; logging,United States--Idaho--Latah County,,,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_09,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/26,26,1021.jp2,/phs/image/1021.jp2
Forests,"Four men standing at the base of a few trees in Sec. 34, T42, 1W.",,,1913,yes,trees; men; forests,United States--Idaho--Latah County,,,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_05a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/27,27,1022.jp2,/phs/image/1022.jp2
Forests,"A man standing at the base of a few trees in Sec. 34, 42, 1W.",,,1913,yes,trees; men; forests,United States--Idaho--Latah County,,,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_04b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/28,28,1023.jp2,/phs/image/1023.jp2
Bovill Timber,Three men standing at the base of a tree at Bovill Timber.,,,1913,yes,trees; men; forests,United States--Idaho--Latah County--Bovill,46.859994,-116.388914,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_05b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/29,29,1024.jp2,/phs/image/1024.jp2
Milwaukee Railroad Bed,"View looking south of the Milwaukee railroad bed, which is north of Bovill, Idaho. The Collins place can be seen amongst the trees.",,,1908,yes,railroads; forests,United States--Idaho--Latah County--Bovill,46.870638,-116.397572,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_07b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/30,30,1025.jp2,/phs/image/1025.jp2
Forests,Three men standing at the base of a tree.,,,1913,yes,trees; men; forests,United States--Idaho--Latah County,,,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_13a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/31,31,1026.jp2,/phs/image/1026.jp2
School House,"View of the school house at Collins area, which is north of Bovill, Idaho. A woman and two children can be seen standing outside the school house.",,,1913,yes,schoolhouses,United States--Idaho--Latah County--Bovill,46.86126,-116.394727,Potlatch Corp.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_11,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/32,32,1027.jp2,/phs/image/1027.jp2
Grizzly Camp,"View of the ""old road"" going into Grizzly Camp, which is now known as Laird Park. The road is lined with trees.",,,1925,yes,roads; parks,United States--Idaho--Latah County,46.940185,-116.645497,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_08,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/33,33,1028.jp2,/phs/image/1028.jp2
Elk Herd,"View of a small elk herd being reintroduced in Latah County at Bovill, Idaho.",,,1930,yes,elk; herds,United States--Idaho--Latah County--Bovill,46.860626,-116.394492,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_12b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/34,34,1029.jp2,/phs/image/1029.jp2
Zimmerman Place,"Mrs. Zimmerman with Bill, Randolph, Elizabeth, and Mr. Zimmerman standing in front of the Zimmerman place.  Mr. Zimmerman is holind the reins of several horses. Photograph taken in 1909.",,,1909,yes,,United States--Idaho--Latah County--Deep Creek,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scapbooks: Deep Creek 1, Potlatch Historical Society",Gale_DeepCreek1-23b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/35,35,103.jp2,/phs/image/103.jp2
Log Deck,View of the log deck covered with stacks of logs.,,,1913,yes,logs,United States--Idaho--Latah County,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",Gale_Timber and Logging_12a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/36,36,1030.jp2,/phs/image/1030.jp2
