title,creator,date,description,coverage,subject,latitude,longitude,type,format,donor,collection,cdm-number,cdm-alias,portal-id
Views of Corliss engine taken during overhaul [01],,1942,General view as overhaul was started.  Note the drop sign to warn that the wheel inching dog is out of place and it is dangerous to start the engine.,United States--Idaho--Latah County--Potlatch,workers; machinery,46.916737,-116.898426,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,11,plcphotos,plcphotos-11
Exterior views of buildings [01],,1949,Exterior of Pres-to-log plant.,United States--Idaho--Latah County--Potlatch,exteriors; buildings; gardens,46.921475,-116.902575,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,12,plcphotos,plcphotos-12
Views of Corliss engine taken during overhaul [02],,1942,Lee Gale on Corliss engine shaft.  Note size of spokes and bolts in flywheel compared to a six foot man.  He stands on a shaft 22' in diameter.,United States--Idaho--Latah County--Potlatch,workers; machinery,46.916737,-116.898426,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,13,plcphotos,plcphotos-13
Views of Corliss engine taken during overhaul [03],,1942,Art Flieger by the Corliss engine crank pin disc.,United States--Idaho--Latah County--Potlatch,workers; machinery,46.916737,-116.898426,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,14,plcphotos,plcphotos-14
W.J. Gamble's winter pictures [01],,1939,Man standing beside a large pile of snow,United States--Idaho--Latah County--Potlatch,winter; buildings,46.916679,-116.899437,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,15,plcphotos,plcphotos-15
"White Pine King, 1911 [02]",,1911,"Quality logs (top cut) Scale 16,170' cut from the largest know white pine tree by Potlatch Lumber Company, Potlatch, Idaho.",United States--Idaho--Latah County--Potlatch,lumber; railroad cars,47.006476,-116.712484,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,16,plcphotos,plcphotos-16
Sawmill overhaul 1942,,1942,During the sawmill overhaul the power plant crew repaired the turbine.,United States--Idaho--Latah County--Potlatch,workers; machinery,46.916737,-116.898426,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,17,plcphotos,plcphotos-17
"White Pine King, 1911 [01]",,1911,"The largest white pine tree ever found grew in the woods of Potlatch Forests. Inc.  It was 207' tall, had an average diameter at the stump of 6'9', was 425 years old and scaled 28,900 board feet.",United States--Idaho--Latah County--Potlatch,forests; lumberjacks,47.006476,-116.712484,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,18,plcphotos,plcphotos-18
"White Pine King, 1911 [04]",,1911,"Quality logs (top cut) Scale 16,170' cut from the largest know white pine tree by Potlatch Lumber Company, Potlatch, Idaho.",United States--Idaho--Latah County--Potlatch,lumber; railroad cars,47.006476,-116.712484,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,19,plcphotos,plcphotos-19
"White Pine King, 1911 [03]",,1911,A truck load of white pine lumber sawn from the White Pine King.,United States--Idaho--Latah County--Potlatch,lumber; workers; railroad cars,47.006476,-116.712484,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,20,plcphotos,plcphotos-20
Exterior of Office Building,,1946,Exterior of office building.,United States--Idaho--Latah County--Potlatch,exteriors; buildings; automobiles,46.921325,-116.893263,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,21,plcphotos,plcphotos-21
"Washington, Idaho & Montana Mail Co. 'bug' #10",,1920,"A Studebaker passenger car with custom built chassis, used to haul passengers and mail between Palouse and Bovill, 1920?",United States--Idaho--Latah County,mountains; railroad cars; snowplow,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,22,plcphotos,plcphotos-22
Exterior views of buildings [02],,1949,Two employees bicycling away from plant entrance.,United States--Idaho--Latah County--Potlatch,exteriors; buildings; bicycles; workers,46.921475,-116.902575,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,23,plcphotos,plcphotos-23
Logs & Logging [02],,1915,Logs on the way to the mill at Potlatch.,United States--Idaho--Latah County--Potlatch,logs; railroad cars,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,24,plcphotos,plcphotos-24
Logs & Logging [01],,1915,Logs on the way to the mill at Potlatch.,United States--Idaho--Latah County--Potlatch,logs; railroad cars; buildings,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,25,plcphotos,plcphotos-25
Logs & Logging [05],,1915,Railway car of logs on the way to the Potlatch Mill.,United States--Idaho--Latah County--Potlatch,logs; railroad cars; buildings,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,26,plcphotos,plcphotos-26
Logs & Logging [03],,1920,Logs on a W.I.M. flat car at the Potlatch Lumber Company Log Pond.,United States--Idaho--Latah County--Potlatch,logs; railroad cars; buildings,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,27,plcphotos,plcphotos-27
W.J. Gamble's winter pictures [12],,1939,Lumber yard in winter.,United States--Idaho--Latah County--Potlatch,winter; lumber,46.916833,-116.897616,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,28,plcphotos,plcphotos-28
Logs & Logging [06],,1915,Logs loaded on a railway flat car in Potlatch.,United States--Idaho--Latah County--Potlatch,logs; railroad cars; buildings,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,29,plcphotos,plcphotos-29
Logs & Logging [07],,1920,Logs on a W.I.M. flat car at the Potlatch Lumber Company Log Pond.,United States--Idaho--Latah County--Potlatch,logs; railroad cars; buildings; rivers,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,30,plcphotos,plcphotos-30
Canadian Pacific Railroad Company,,1920,View of several CP box cars and a Pres-to-logs box car.,United States--Idaho--Latah County--Potlatch,railroad cars; advertising; fields,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,31,plcphotos,plcphotos-31
Logging Equipment [06],,1936,"'""The Potlatch Navy', a multipurpose craft used as an icebreaker, pile driver, skyline rig and sea-going donkey engine on the pond on a railway flatcar.""",United States--Idaho--Latah County--Potlatch,railroad cars; workers; mountains; equipment,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,32,plcphotos,plcphotos-32
Logging Equipment [05],,1936,"'""The Potlatch Navy', a multipurpose craft used as an icebreaker, pile driver, skyline rig and sea-going donkey engine on the pond, preparing to off-load the barge.""",United States--Idaho--Latah County--Potlatch,railroad cars; workers; mountains; equipment,46.918481,-116.894842,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,33,plcphotos,plcphotos-33
Interior view of office,,1942,Secretary and clerk in an office.,United States--Idaho--Latah County--Potlatch,interiors; workers; offices,46.921395,-116.901443,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,34,plcphotos,plcphotos-34
Logging Equipment [04],,1936,"'""The Potlatch Navy', a multipurpose craft used as an icebreaker, pile driver, skyline rig and sea-going donkey engine on the pond launching the barge in the pond.""",United States--Idaho--Latah County--Potlatch,mountains; workers; barges (flat-bottomed watercraft); river,46.918481,-116.894842,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,35,plcphotos,plcphotos-35
Logging Equipment [03],,1936,The multipurpose craft being transported on a railway flatcar.,United States--Idaho--Latah County--Potlatch,workers; railway cars; equipment,46.918481,-116.894842,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,36,plcphotos,plcphotos-36
Logs & Logging [04],,1920,Typical lag yard and sawmill,United States--Idaho--Latah County--Potlatch,sawmills; logs,46.932564,-116.807692,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,37,plcphotos,plcphotos-37
Logging [13],,1920,An old-timer hand sawing lumber in Alaska,United States--Idaho--Latah County--Potlatch,lumber jack; mountains,46.932564,-116.807692,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,38,plcphotos,plcphotos-38
Logging [20],,1946,Logs loaded on a truck and transported to the pond.,United States--Idaho--Latah County--Potlatch,logging trucks,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,39,plcphotos,plcphotos-39
Logging [14],,1946,Logs loaded on a truck and transported to the pond.,United States--Idaho--Latah County--Potlatch,logging trucks; workers,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,40,plcphotos,plcphotos-40
Logging [27],,1946,Logs loaded on a truck and transported to the pond.,United States--Idaho--Latah County--Potlatch,logging trucks; workers,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,41,plcphotos,plcphotos-41
Logging [26],,1946,Logs loaded on a truck and transported to the pond.,United States--Idaho--Latah County--Potlatch,logging trucks; workers,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,42,plcphotos,plcphotos-42
Logging [29],,1955,A fully loaded logging truck arriving at the mill.,United States--Idaho--Latah County--Potlatch,logging trucks,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,43,plcphotos,plcphotos-43
Potlatch Lumber Company Log Pond,,1937,View of the upper log pond,United States--Idaho--Latah County--Potlatch,ponds; logs; mountains,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,44,plcphotos,plcphotos-44
Lumber yard [02],,1928-01-21,View of lumber yard in winter.,United States--Idaho--Latah County--Potlatch,lumber yards; mountains,46.918319,-116.903243,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,45,plcphotos,plcphotos-45
Logging [17],,1946,Logs loaded on a truck and transported to the pond.,United States--Idaho--Latah County--Potlatch,logging trucks,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,46,plcphotos,plcphotos-46
Logging Equipment [01],,1940,Osgood Loader at the mill.,United States--Idaho--Latah County--Potlatch,equipment; workers; cranes,46.915785,-116.900169,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,47,plcphotos,plcphotos-47
Logging Equipment [02],,1940,Crane lifting logs out of the pond.,United States--Idaho--Latah County--Potlatch,equipment; cranes; buildings,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,48,plcphotos,plcphotos-48
Logging [24],,1924,Inclined railroad in a logging area.,United States--Idaho--Latah County--Potlatch,railroad tracks; mountains; forest,46.916386,-116.900083,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,49,plcphotos,plcphotos-49
"Spokesman Review Trip, June 8, 1954",,1954-06-08,Group by dam and waterfall,United States--Washington--Spokane County--Spokane,Group portraits; mountains; dams; water falls,46.896258,-117.359508,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,50,plcphotos,plcphotos-50
"Spokesman Review Trip, June 8, 1954 [03]",,1954-06-08,Group from Spokesman Review on Steptoe Butte,United States--Washington--Whitman County--Garfield,fields; Group portraits,47.032392,-117.299641,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,51,plcphotos,plcphotos-51
"Spokesman Review Trip, June 8, 1954 [06]",,1954-06-08,Group in the St. Joe National forest.,United States--Idaho--Latah County--Saint Joe National Forest,forests; photographers,46.977894,-116.667595,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,52,plcphotos,plcphotos-52
"Spokesman Review Trip, June 8, 1954 [05]",,1954-06-08,Two men photographing wild flowers.,United States--Idaho--Latah County--Saint Joe National Forest,highways; photographers,46.977894,-116.667595,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,53,plcphotos,plcphotos-53
"Spokesman Review Trip, June 8, 1954 [04]",,1954-06-08,"Group picture taken at Benewah County line, St. Joe National Forest.",United States--Idaho--Benewah County,Group portraits; forest,46.977894,-116.667595,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,54,plcphotos,plcphotos-54
"Spokesman Review Trip, June 8, 1954 [02]",,1954-06-08,The road to Steptoe Butte.,United States--Washington--Whitman County--Garfield,automobiles; roadways; fields,47.032182,-117.299641,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,55,plcphotos,plcphotos-55
Fork-lift truck,,1945,Operator of fork lift truck stacking lumber in yard.,United States--Idaho--Latah County--Potlatch,lumber; workers; forklift trucks,46.918319,-116.903243,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,56,plcphotos,plcphotos-56
"Spokesman Review Trip, June 8, 1954 [01]",,1954-06-08,At the P.F. I. log pond.,United States--Idaho--Latah County--Potlatch,logs; equipment; workers,46.921603,-116.913564,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,57,plcphotos,plcphotos-57
Palouse River Valley Rural Fire Protection District,,1905-05-07,Truck belonging to Potlatch Station No. 1.,United States--Idaho--Latah County--Potlatch,fire truck,46.92156,-116.898219,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,58,plcphotos,plcphotos-58
W.J. Gamble's winter pictures [10],,1949,Snow in the lumber yard.,United States--Idaho--Latah County--Potlatch,winter; lumber; workers; trucks,46.916833,-116.897616,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,59,plcphotos,plcphotos-59
Proposed Potlatch Runway site,,1905-05-10,Aerial view of the mill with the proposed location of a runway drawn in ink.,United States--Idaho--Latah County--Potlatch,aerial photographs,46.926526,-116.913371,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,60,plcphotos,plcphotos-60
"Cedar Mountain Lookout tower, 1917 [02]",,1917,"The tower was completed in the fall of 1916.  The lower part is used for living quarters, the upper for fire detection.",United States--Idaho--Bonner County,lookout,47.013846,-116.578674,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,61,plcphotos,plcphotos-61
Relief map of Potlatch area [02],,1917,"Unidentified- possible of the Potlatch, Idaho area.",United States--Idaho--Latah County--Potlatch,maps,46.92156,-116.898219,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,62,plcphotos,plcphotos-62
Relief map of Potlatch area [03],,1917,"Unidentified- possible of the Potlatch, Idaho area.",United States--Idaho--Latah County--Potlatch,maps,46.92156,-116.898219,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,63,plcphotos,plcphotos-63
Relief map of Potlatch area [04],,1917,"Unidentified- possible of the Potlatch, Idaho area.",United States--Idaho--Latah County--Potlatch,maps,46.92156,-116.898219,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,64,plcphotos,plcphotos-64
"Cedar Mountain Lookout tower, 1917 [01]",,1917,"The tower was completed in the fall of 1916.  The lower part is used for living quarters, the upper for fire detection.",United States--Idaho--Bonner County,lookout,47.013846,-116.578674,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,65,plcphotos,plcphotos-65
Relief map of Potlatch area [01],,1917,"Unidentified- possible of the Potlatch, Idaho area.",United States--Idaho--Latah County--Potlatch,maps,46.92156,-116.898219,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,66,plcphotos,plcphotos-66
Lumber yard & pond,,1936,View of lumber stacked in yard.,United States--Idaho--Latah County--Potlatch,lumber,46.918319,-116.903243,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,67,plcphotos,plcphotos-67
Cyclone Seed Sower [01],,1930,Close-up of Cyclone Seed Sower.,United States--Idaho--Latah County--Princeton,machinery; winter,46.934671,-116.794538,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,68,plcphotos,plcphotos-68
Cyclone Seed Sower [02],,1930,G.B. Ringold operating the seeder.,United States--Idaho--Latah County--Princeton,workers; machinery; winter,46.934671,-116.794538,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,69,plcphotos,plcphotos-69
"Solar eclipse, June 8,1918 [01]",,1918-06-08,Viewing box inscribed with the names of those who watched the eclipse.,United States--Idaho--Latah County--Potlatch,solar eclipse,46.927377,-116.902664,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,70,plcphotos,plcphotos-70
W.I. & M. Locomotives,,1917,Washington Idaho and Montana Railway Co. Locomotive #1.,United States--Idaho--Latah County--Potlatch,railroad tracks; railroad stations; locomotives,46.921354,-116.901881,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,71,plcphotos,plcphotos-71
"Solar eclipse, June 8,1918 [02]",,1918-06-08,Multiple exposure showing phases of the eclipse,United States--Idaho--Latah County--Potlatch,solar eclipse,46.927377,-116.902664,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,72,plcphotos,plcphotos-72
Locomotive (Shay) No. 103 [02],,1913,Engine in process of being dismantled.,United States--Idaho--Latah County--Potlatch,locomotives,46.921354,-116.901881,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,73,plcphotos,plcphotos-73
Locomotive (Shay) No. 103 [01],,1910,Several men looking at debris around a shay engine.,United States--Idaho--Latah County--Potlatch,debris; locomotives,46.921354,-116.901881,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,74,plcphotos,plcphotos-74
W.J. Gamble's winter pictures [11],,1939,View of snow covered lumber yard.,United States--Idaho--Latah County--Potlatch,winter; buildings; lumber,46.916833,-116.897616,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,75,plcphotos,plcphotos-75
W.I. & M. Locomotives No. 22,,1915,Four men posed on the engine of a logging train.,United States--Idaho--Latah County--Potlatch,trains; workers; logs,46.921354,-116.901881,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,76,plcphotos,plcphotos-76
W.J. Gamble's winter pictures [04],,1939,Logs piled beside the railway line.,United States--Idaho--Latah County--Potlatch,logs; railroad tracks; workers,46.916679,-116.899437,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,77,plcphotos,plcphotos-77
Lumber yard & pond [01],,1936,View of lumber stacked in yard.,United States--Idaho--Latah County--Potlatch,lumber,46.918319,-116.903243,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,78,plcphotos,plcphotos-78
Potlatch Lumber Company Locomotives Shay [04],,1938,Views of the dismantling of a shay engine.,United States--Idaho--Latah County--Potlatch,locomotives,46.921354,-116.901881,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,79,plcphotos,plcphotos-79
Potlatch Lumber Company Locomotives Shay [05],,1938,Views of the dismantling of a shay engine.,United States--Idaho--Latah County--Potlatch,locomotives; workers,46.921354,-116.901881,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,80,plcphotos,plcphotos-80
Locomotive (Shay) No. 106,,1915,Two of the shay locomotives which were scrapped,United States--Idaho--Latah County--Potlatch,locomotives; scrap metal,46.921354,-116.901881,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,81,plcphotos,plcphotos-81
Potlatch Lumber Company Locomotives Shay [07],,1938,Views of the dismantling of a shay engine.,United States--Idaho--Latah County--Potlatch,cranes,46.921354,-116.901881,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,82,plcphotos,plcphotos-82
Potlatch Lumber Company Locomotives Shay [02],,1938,Views of the dismantling of a shay engine.,United States--Idaho--Latah County--Potlatch,cranes,46.921354,-116.901881,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,83,plcphotos,plcphotos-83
Potlatch Lumber Company Locomotives Shay [03],,1938,Views of the dismantling of a shay engine.,United States--Idaho--Latah County--Potlatch,scrap metal; railroad cars,46.921354,-116.901881,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,84,plcphotos,plcphotos-84
Potlatch Lumber Company Locomotives Shay [01],,1938,Views of the dismantling of a shay engine.,United States--Idaho--Latah County--Potlatch,scrap metal,46.921354,-116.901881,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,85,plcphotos,plcphotos-85
Potlatch Lumber Company Locomotives Shay [06],,1938,Views of the dismantling of a shay engine.,United States--Idaho--Latah County--Potlatch,scrap metal,46.921354,-116.901881,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,86,plcphotos,plcphotos-86
Logging [02],,1923,"Stand of sixteen year old larch north of Dover, Idaho",United States--Idaho--Bonner County,forests; automobiles,48.258852,-116.624765,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,87,plcphotos,plcphotos-87
Locomotive (Shay) No. 107,,1915,Two of the shay locomotives which were scrapped,United States--Idaho--Latah County--Potlatch,locomotives; scrap metal,46.921354,-116.901881,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,88,plcphotos,plcphotos-88
Lumber yard & pond [02],,1936,View of lumber yard.  Note railway tracks running between stacked lumber.,United States--Idaho--Latah County--Potlatch,lumber; railroad tracks,46.918319,-116.903243,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,89,plcphotos,plcphotos-89
Logging [08],,1923,"40-45 year old reproduction of white pine 1 1/2 miles north of Clarkia, Idaho",United States--Idaho--Shoshone County--Clarkia,forests; roadways,47.013164,-116.251116,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,90,plcphotos,plcphotos-90
Logging [21],,1923,"Second growth tamarack, 40 years old, in Kaniksu National Forest Bonner County, Idaho.",United States--Idaho--Bonner County,forests; roadways,48.215217,-116.201362,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,91,plcphotos,plcphotos-91
Logging [04],,1923,Thirty year old western white pine western larch western yellow pine and white fir.,United States--Idaho--Bonner County,forests; buildings,47.014585,-116.242068,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,92,plcphotos,plcphotos-92
Logging [22],,1923,"Yellow pine growth about 100 years old in the lower yellow pine zone, Kaniksu National Forest, Idaho.",United States--Idaho--Bonner County,forests,48.336533,-116.170482,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,93,plcphotos,plcphotos-93
Logging [03],,1923,"Disposal of slash after logging is one of the most vexing problems before Idaho lumbermen.  Scene is near St. Joe, Idaho",United States--Idaho--Benewah County--St. Joe,forests,47.006053,-116.512388,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,94,plcphotos,plcphotos-94
W.J. Gamble's winter pictures [06],,1939,Lumber piled outside of a shed.,United States--Idaho--Latah County--Potlatch,buildings; lumber; railroad tracks,46.916679,-116.899437,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,95,plcphotos,plcphotos-95
